,p1,p3,p4,p5,p6,p7,p13,p14,p15,p17,p19,p20,p21,p22,p23,p24,p26,p27,p32,p33,p34,p35,p36,p39,p40,p41,p42,p43,p44,p45,p46.1,p46.2,p46.3,p46.4,p46.5,p46.6,p47,48.1,48.2,48.3,48.4,48.5,48.6,54.1,54.2,54.3,54.4,54.5,54.6,54.7,54.8,54.9,54.91,p65,p66,p67,"p68,1","p68,2","p68,3","p68,4","p68,5","p68,6","p68,7","p68,8","p68,9","P70,1","p70,2","p70,3",p71,"p72,1","p72,2","p72,3","p72,4","p72,5","p72,6","p72,7",p74,p91,p92,p93,p94,p95,p96,p97,p99,p100,p101,p102,p103,p104,p106,"p108,1","p108,2","p108,3","p108,4","p108,5","p108,6","p108,7","p108,8","p108,9","p108,91","p108,92",p128,p131
1079,2020,4,3,30,37,41,1,36,4,2,5,8,0,0,0,0,5,2,3,2,0,2,0,0,2,1,0,0,1,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6000.0,5,5,0,0,3,1,0,1,0,1,0,1,6,2,1,0,0,0,0,0,0,0,0,0,0,2,0
1080,2020,0,0,31,1,12,0,40,0,1,5,8,0,0,0,0,4,1,1,3,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,1,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,8000.0,6,4,0,0,0,0,1,3,1,1,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,2,0
1081,2020,4,3,30,37,41,0,54,0,1,5,5,0,2,0,0,3,1,1,2,0,0,1,0,2,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2800.0,5,5,0,0,2,0,0,1,3,1,0,0,6,4,1,0,0,0,0,0,0,0,0,0,0,2,0
1082,2020,0,0,31,1,12,1,56,3,1,5,5,0,0,0,0,10,2,3,7,0,2,2,3,1,0,1,0,0,0,1,0,1,0,0,0,4,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6,2,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,5400.0,3,5,0,0,3,2,0,4,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,1
1083,2020,0,0,31,1,12,1,26,3,1,5,6,0,0,0,0,2,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2800.0,3,5,0,0,1,0,1,5,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,3,1
1084,2020,3,2,13,10,44,1,40,1,1,5,7,0,0,0,0,3,1,2,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,9700.0,6,4,0,0,2,0,0,4,0,8,0,0,2,2,0,1,0,0,0,0,1,0,0,0,0,4,1
1085,2020,4,3,30,37,41,0,41,0,1,5,8,0,0,0,0,5,1,3,2,0,1,2,0,2,0,0,0,0,0,0,0,1,0,0,0,3,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,6,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3600.0,3,5,0,0,3,2,0,3,1,1,1,1,6,2,1,0,0,0,0,0,0,0,0,0,0,2,0
1086,2020,0,0,31,1,12,1,32,4,1,5,7,0,0,0,0,3,1,1,3,0,0,2,2,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15000.0,3,5,0,0,0,0,1,3,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1
1087,2020,0,0,31,1,12,0,42,4,1,5,7,0,0,0,0,3,1,2,1,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2,0,0,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,5500.0,0,5,2600,0,2,1,0,4,2,1,2,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1
1088,2020,3,2,12,10,44,0,41,0,1,5,7,0,0,0,0,5,1,2,3,1,1,1,0,2,0,0,0,1,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,7,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,4000.0,6,4,0,0,2,1,1,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1
1089,2020,0,0,31,1,12,0,28,0,1,5,6,0,0,0,0,8,4,1,0,0,0,0,1,0,0,4,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4000.0,0,5,1000,0,0,0,0,4,0,1,0,0,6,3,0,0,0,0,0,0,0,0,0,1,0,2,0
1090,2020,3,2,22,10,44,0,23,0,1,5,7,0,0,0,0,7,2,3,4,1,1,2,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,12,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,12000.0,4,2,0,0,1,1,0,4,3,8,1,0,6,4,0,0,0,0,0,0,0,0,0,1,1,3,1
1091,2020,0,0,31,1,12,1,39,4,1,5,7,0,2,0,0,6,1,1,1,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,11000.0,4,1,0,0,1,0,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,1
1092,2020,3,2,13,10,44,0,38,4,1,5,8,0,0,0,0,2,1,2,0,0,0,0,1,1,0,4,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10000.0,6,4,0,0,0,1,0,7,1,8,0,1,6,4,0,0,0,0,0,0,0,0,0,1,0,2,0
1093,2020,0,0,31,1,12,0,43,0,1,5,8,0,0,0,0,4,1,2,2,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,7500.0,4,1,0,2,1,0,0,3,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0
1094,2020,0,0,31,1,12,0,40,4,1,5,7,0,0,0,0,6,1,2,4,0,0,3,1,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,5000.0,0,5,2500,0,2,1,1,4,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,2,1
1095,2020,3,2,13,10,44,0,49,4,1,5,5,0,0,0,0,2,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,6300.0,6,4,0,0,1,0,0,4,3,7,3,0,0,4,0,0,0,0,0,0,0,0,0,0,1,3,1
1096,2020,3,2,12,10,44,0,58,4,1,5,7,0,0,0,0,4,2,3,2,0,0,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,12,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,15000.0,6,4,0,2,2,1,0,3,2,1,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,4,0
1097,2020,3,2,13,10,44,0,28,4,1,5,7,0,0,0,0,6,2,5,2,1,2,0,2,1,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,3,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,18200.0,6,2,0,0,1,1,1,4,0,8,1,1,6,2,0,0,0,0,0,0,0,0,0,0,1,2,1
1098,2020,3,2,13,10,44,0,28,1,4,5,8,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,5200.0,6,4,0,0,0,0,0,4,0,8,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0
1099,2020,3,2,12,10,44,1,26,4,1,5,8,0,0,0,0,6,2,3,3,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,20000.0,3,5,0,0,1,1,1,4,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0
1100,2020,4,3,30,37,41,0,54,0,4,5,7,0,2,0,0,8,3,5,3,2,0,0,4,2,0,0,1,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8,3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,18000.0,5,5,0,0,3,2,1,3,1,1,1,0,6,2,0,0,0,0,0,0,0,0,0,1,0,0,0
1101,2020,4,3,30,37,41,0,41,4,1,5,8,0,0,0,0,8,2,4,4,0,3,1,2,2,0,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,3,0,1,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,8000.0,4,2,0,0,2,0,1,4,0,1,0,1,6,2,0,0,0,0,0,0,0,0,0,1,0,3,1
1102,2020,0,0,33,34,40,0,41,4,1,5,8,0,0,0,0,6,1,3,3,1,3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,1,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,10000.0,0,5,4500,0,2,0,0,4,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1
1103,2020,4,3,5,25,38,1,62,0,1,5,7,0,2,2,0,4,1,2,2,0,0,0,2,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,5,1,0,1,0,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,1,8159.0,4,4,0,2,3,2,0,3,2,1,2,1,6,4,0,0,0,0,0,0,1,0,0,0,0,2,0
1104,2020,4,3,5,25,38,1,36,4,2,5,8,0,0,2,0,4,1,4,4,0,1,1,0,4,0,0,0,1,1,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6,3,0,0,0,0,1,0,1,0,1,0,1,0,2,0,0,0,0,0,0,1,14378.0,5,5,0,0,1,0,1,1,0,1,0,0,6,2,0,0,0,0,0,0,0,0,0,1,0,0,1
1105,2020,4,3,5,25,38,1,41,0,4,5,8,0,0,0,0,4,1,1,3,0,0,2,0,2,0,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,12000.0,5,5,0,0,2,2,0,8,0,1,0,0,6,4,0,0,0,0,0,0,0,0,0,1,0,3,0
1106,2020,4,3,5,25,38,0,38,4,1,1,4,0,0,0,0,4,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,12,2,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,12059.0,5,5,0,0,1,0,0,4,3,7,1,1,6,4,0,0,0,0,0,0,0,0,0,0,1,3,1
1107,2020,4,3,5,25,38,0,76,5,3,5,7,0,0,0,0,1,1,1,0,0,0,0,0,0,1,4,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1250.0,4,5,0,0,1,0,0,3,0,4,0,0,6,2,0,0,0,0,0,0,0,0,0,1,0,0,1
1108,2020,4,3,5,3,2,0,57,0,1,5,7,0,0,0,0,3,1,1,2,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5000.0,0,5,0,0,2,1,1,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0
1109,2020,4,3,5,25,38,1,50,3,1,5,8,0,2,2,0,2,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,4000.0,6,1,0,0,0,0,1,1,1,1,1,0,6,4,0,0,0,0,0,0,0,0,0,1,0,2,1
1110,2020,4,3,5,25,38,0,42,0,1,5,7,0,0,0,0,7,2,5,2,1,1,0,1,3,1,0,0,1,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,6,2,0,0,0,0,0,0,1,0,1,0,1,0,2,0,0,0,0,0,0,1,5000.0,4,7,0,0,3,2,0,3,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0,2,1
1111,2020,0,0,31,1,12,1,33,4,1,5,8,0,0,0,0,5,1,2,3,0,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,6,2,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6000.0,3,5,0,0,2,2,1,4,1,1,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0
1112,2020,0,0,31,1,12,1,48,4,1,5,8,0,2,0,0,9,2,2,4,0,0,1,2,2,0,0,0,1,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5000.0,0,5,2500,2,2,1,1,4,1,1,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,2,0
